PK_LOCALIDADE;customer_address_1;customer_address_2;customer_address_3;customer_address_4;address_number;region_code;region_name;city;country;state;zip_code
ef89727883ee7a7ab97a900862a417e1d1e6075d81641b44d52b885d3f90ec98;Aut Reg Del Centro Valencia;A Pto Cabello Dist Naguanagua;Centro Comercial;IL Portico;10026868;5;International;Valencia;UK;Não informado;Não informado
655ffa11347fcba641d540415e41b26afe9d109e21cb43e3a7c41541a0179c9e;13907 S Kostner Avenue;Não informado;Não informado;Não informado;10022252;4;Central;Crestwood;US;IL;60445-2205
d326fbde59c459e9ff20f14a903a90f7bbb364f9344905ba6d09cbcbc27cf460;10023 128th St. E #7;Não informado;Não informado;Não informado;10008381;1;Western;Puyallup;US;WA;98373
668556a2a502137e2605b38aca9516237b24b08e7af7cac4ce8020632f81cffd;601 East Gowen Road;Não informado;Não informado;Não informado;10005006;1;Western;Boise;US;ID;83716
7ac357bc0514a78ce9d5f2c22a49c97d0a569c0d10d5280ffa3af2a412bd2b4f;815 Hellam Street;Não informado;Não informado;Não informado;10021470;3;Northeast;Wrightsville;US;PA;17368
d747bc967c11380ecf210f2dfbfcf4d28d3b712aaa1cf79a06aeecc5e2853180;PO Box 460;Não informado;Não informado;Não informado;10021231;4;Central;Middlebury;US;IN;46540
f17c359a76e6f07470adbec58b3aa52a8fc5aa20188af782560ef4fc4d051da1;Não informado;Não informado;Não informado;Não informado;10020907;5;International;Não informado;UK;Não informado;Não informado
409878648ce704157e6a145995fdf8ae6719ff01d6f3dbd4c613e1070cf42dc4;Michigan Truck Plant;38303 Michigan Avenue;Não informado;Não informado;10021223;4;Central;Wayne;US;MI;48184
d400d1c270e3e9b9437ac177950dc7284e76d67950892604e87ece88431d9c4a;PO Box 640;Não informado;Não informado;Não informado;10025575;0;Canada;Beamsville;CA;ON;L0R 1B0
5e9caf2cd150ac5855489673a996dfdd9386acaf81540470979e8a20341c3d52;Limited Reg Number 28388;40 Devil's Tower Road;PO Box 176;Não informado;10007309;5;International;Não informado;UK;Não informado;Não informado
7d895f1f638ddb59c3273d8bfa4d0c5777aba5bde9eb044c624064158c2d4bc4;PO Box 3382;Attention  Accounts Payable;Não informado;Não informado;10021139;4;Central;Livonia;US;MI;48151
6fd402ac6186af2b475b03ccf90a34d74119185c4e153fc77bb8f9df3ed09a56;580 Waterman Avenue;Não informado;Não informado;Não informado;10024246;3;Northeast;East Providence;US;RI;2914
68b1a9464c1292a2974b420d34026cf89838689e65b6e9ffee251207b4b2e02b;6127 San Pedro Avenue;Não informado;Não informado;Não informado;10025040;2;Southern;San Antonio;US;TX;78216
41427fa19646674a36b2888ecba4082721e4d7e2056fcd79623dedda00834356;8503 Hilltop Drive;Não informado;Não informado;Não informado;10025250;2;Southern;Ooltewah;US;TN;37363
9ae34f73344ae1935d042262cd7c93392fb947711136dc644e86f2d7a179ce66;Spicer Clark - Hurth Off Highway Div;1293 Glenway Drive;Não informado;Não informado;10002244;2;Southern;Statesville;US;NC;28625
b09fb01df744fd9216a52e15320a8a9e2e958af067bfc42d7401fe4c4735e6c4;Dagher Plast Building 17;Baizoob Area;Não informado;Não informado;10018877;5;International;Beirut;AU;Não informado;Não informado
1d2e242cc62d3d358cc12822c20ebfc511d3f47cfc7576321d3c043256e6bf98;PO Box 5222;Não informado;Não informado;Não informado;10013238;4;Central;Janesville;US;WI;53547-5222
18ada2fe09b1a1ca9fefadf456c6037a25ae7fb8c5500db7e96a58a7317c89e4;10930 West 44th Avenue;Não informado;Não informado;Não informado;10021418;1;Western;Wheatridge;US;CO;80033
7866b5a4bab59689fa3993c4abf5fbefce7b085a7154c2fedd5e5b680dd6d8df;PO Box 1005;Não informado;Não informado;Não informado;10012235;0;Canada;Winnipeg;CA;MB;R3C 2W7
ab2687f1f52fcec87a894eb4ab713145096c2b957876830f68770715f61892d9;300 Ingersoll Street;PO Box 1005;Não informado;Não informado;10011724;0;Canada;Ingersoll;CA;ON;N5C 4A6
3c1335e1a290fd30a3c348af158eb9016ebc68ca6ea27988076918ba9185c013;Brobekkveien 105;Não informado;Não informado;Não informado;10020672;5;International;N-0598 Oslo;IR;Não informado;Não informado
92c2d23f4fec5242bdaf767fea6129e185e8ed6b71660e72bedca1e8c6910f53;907 Cole Street;Não informado;Não informado;Não informado;10024743;1;Western;Enumclaw;US;WA;98022
8170a8d1c65a5fed489fd4aba357b5949c6a991448cb74771a7130f9830bc1d1;Landstrasse 18;Não informado;Não informado;Não informado;10022746;5;International;A 5102 Anthering;UK;Não informado;Não informado
